ID_Number,Name,Manufacturer,Cartridge,Country,Introduced,Type,Unspecified
0,A-M20,Vigilance Rifles,9×19mm NATO,United States,2020,SMG,Unspecified
1,FAMAE SAF,FAMAE,9×19mm Parabellum,Chile,1993,SMG,Unspecified
2,Agram 2000,Agram,9×19mm Parabellum,Yugoslavia Croatia,2000,SMG,Unspecified
3,AL-43,Valtion Kivääritehdas,9x35mm Lahti7.62x35mm Lahti,Finland,1943,SMG,Unspecified
4,AMAC Delta-786,American Military Arms Corporation,9x19mm,United States,1980s,SMG,Unspecified
5,American-180,Illinois Arms Company,.22 Long Rifle.22 Short Magnum,United States,1960s,SMG,Unspecified
6,ARCO Abider,Armament Research Company,.45 ACP,United States,1953,SMG,Unspecified
7,A.R.C. Weapons System,Unspecified,9x19mm / .45 ACP,United States,1984,SMG,Unspecified
8,ASMI,Lokesh Machines Limited,9×19mm Parabellum,India,2021,SMG,Unspecified
9,Brügger & Thomet APC,B&T,9×19mm Parabellum,Switzerland,2011,SMG,Unspecified
10,AR-57,AR57 LLC,FN 5.7×28mm,United States,2008,PDW,Unspecified
11,Armaguerra OG-43,Società Anonima Revelli Manifattura Armiguerra,9×19mm Parabellum,Italian Social Republic,1943,SMG,Unspecified
12,Arsenal submachine gun,Arsenal,9×20 mm SR Browning,Estonia,1926,SMG,Unspecified
13,ASALT 96,Uzina Mecanică Sadu,9×19mm Parabellum,Romania,1996,SMG,Unspecified
14,Austen submachine gun,DiecastersW. T. Carmichael,9×19mm Parabellum,Australia,1942,SMG,Unspecified
15,Bechowiec-1,Bataliony Chłopskie,9×19mm Parabellum,Poland,1943,SMG,Unspecified
16,Beretta 93R,Fabbrica d'Armi Pietro Beretta,9×19mm Parabellum,Italy,1978,MP,Unspecified
17,Beretta PMX,Beretta Defense Technologies,9×19mm Parabellum,Italy,2018,SMG,Unspecified
18,Beretta Cx4 Storm,Fabbrica d'Armi Pietro Beretta,"9×19mm Parabellum, .45 ACP",Italy,2003,SMG,Unspecified
19,Beretta Model 38,Fabbrica d'Armi Pietro Beretta,9×19mm Parabellum,Italy,1938,SMG,Unspecified
20,Beretta M12,Fabbrica d'Armi Pietro Beretta,9×19mm Parabellum,Italy,1959,SMG,Unspecified
21,Beretta M1918,Fabbrica d'Armi Pietro Beretta,9mm Glisenti.22 Long Rifle,Italy,1918,SMG,Unspecified
22,Borz,"Krasniy Molot, Grozny",9×18mm Makarov,Chechnya,1992,SMG,Unspecified
23,Brügger & Thomet MP9,Brügger & Thomet,9×19mm Parabellum,Switzerland,2001,MP/SMG,Unspecified
24,BSA experimental model 1949,Birmingham Small Arms,9×19mm Parabellum,United Kingdom,1949,SMG,Unspecified
25,BSA Welgun,Birmingham Small Arms,9×19mm Parabellum,United Kingdom,1943,SMG,Unspecified
26,Calico M960,Calico Light Weapons Systems,9×19mm Parabellum,United States,1990,SMG,Unspecified
27,Colt 9mm SMG,Colt's Manufacturing Company,9×19mm Parabellum,United States,1982,SMG,Unspecified
28,Colt SCAMP,Henry A. Into,.221 Remington Fireball,United States,1971,"MP, PDW",Unspecified
29,Carl Gustav m/45,Carl Gustafs Stads Gevärsfaktori,9×19mm Parabellum,Sweden,1945,SMG,Unspecified
30,CF-05,Chongqing Changfeng,9×19mm Parabellum,China,2005,SMG,Unspecified
31,Celmi Modelo 1946,Fabrica de Armas Celmi hnos,.45 ACP,Uruguay,1946,SMG,Unspecified
32,CETME C2 submachine gun,CETME,9×23mm Largo,Spain,1964,SMG,Unspecified
33,Chropi GP10 submachine gun,Chropi,9×19mm Parabellum.45 ACP,Greece,1975,SMG,Unspecified
34,Choroszmanów submachine gun,Grzegorz Choroszman,7.62×25mm Tokarev,Poland,1943,SMG,Unspecified
35,CZ Scorpion Evo 3,Česká zbrojovka Uherský Brod,9×19mm Parabellum,Czech Republic,2009,SMG,Unspecified
36,Danuvia 43M submachine gun,Danuvia Engineering Industries,9×25mm Mauser,Hungary,1943,SMG,Unspecified
37,Daewoo Precision Industries K7,S&T Motiv,9×19mm Parabellum,South Korea,1998,SMG,Unspecified
38,Daewoo XK9,S&T Motiv,9×19mm Parabellum,South Korea,2003,SMG,Unspecified
39,DUX submachine gun,Oviedo Military Arsenal,9×19mm Parabellum,Spain,1953,SMG,Unspecified
40,EDDA submachine gun,only one prototype made,.22 Winchester Magnum Rimfire,Argentina,1970s,SMG,Unspecified
41,Erma EMP,Erma Werke,9×19mm Parabellum9×23mm Largo7.63×25mm Mauser,Germany,1931,SMG,Unspecified
42,EMP 44,Erma Werke,9×19mm Parabellum,Germany,1944,SMG,Unspecified
43,Experimental Model 2 submachine gun,Unspecified,8×22mm Nambu,Japan,1935,SMG,Unspecified
44,F1 submachine gun,Lithgow Small Arms Factory,9×19mm Parabellum,Australia,1962,SMG,Unspecified
45,FBP submachine gun,Fábrica de Braço de Prata,9×19mm Parabellum,Portugal,1948,SMG,Unspecified
46,Federal Engineering XC,Federal Engineering Corporation,.22 Long Rifle9×19mm Parabellum.45 ACP,United States,1984,SMG,Unspecified
47,Floro MK-9,Floro International Corporation,9×19mm Parabellum,Philippines,2001,SMG,Unspecified
48,FMK-3 submachine gun,Military Industries States Corporation,9×19mm Parabellum,Argentina,1974,SMG,Unspecified
49,FNAB-43,Fabbrica Nazionale d'Armi di Brescia,9×19mm Parabellum,Italian Social Republic,1943,SMG,Unspecified
50,FN P90,FN Herstal,FN 5.7×28mm,Belgium,1990,PDW,Unspecified
51,Franchi LF-57,Luigi Franchi,9×19mm Parabellum,Italy,1957,SMG,Unspecified
52,Glock 18,Glock Ges.m.b.H.,9×19mm Parabellum,Austria,1986,MP,Unspecified
53,Hafdasa C-4,Hispano Argentina de Automotives SA,9×19mm Parabellum.45 ACP,Argentina,1939,SMG,Unspecified
54,Halcón M-1943,Fábrica de Armas Halcón,9×19mm Parabellum.45 ACP,Argentina,1943,SMG,Unspecified
55,Halcón ML-57,Buenos Aires Halcon,9×19mm Parabellum.45 ACP,Argentina,1957,SMG,Unspecified
56,Halcón ML-63,Buenos Aires Halcon,9×19mm Parabellum,Argentina,1963,SMG,Unspecified
57,Heckler & Koch UMP[1],Heckler & Koch,"9×19mm Parabellum(UMP9), .45 ACP(UMP45), .40 S&W(UMP40)",Germany,1999,SMG,Unspecified
58,Heckler & Koch MP5,Heckler & Koch,"9×19mm Parabellum, 10mm Auto, .40 S&W",West Germany,1966,SMG,Unspecified
59,Heckler & Koch MP7,Heckler & Koch,4.6×30mm,Germany,1999,"SMG, PDW",Unspecified
60,Heckler & Koch VP70,Heckler & Koch,9×19mm Parabellum,Germany,1970,MP,Unspecified
61,INA Model 953,Industria National de Armas S.A.,.45 ACP,Brazil,1950,SMG,Unspecified
62,Ingram Model 6,Unspecified,9×19mm Parabellum.38 Super.45 ACP,United States,1949,SMG,Unspecified
63,Interdynamic MP-9,Unspecified,9×19mm Parabellum,Sweden,1983,SMG,Unspecified
64,Jatimatic,Tampereen Asepaja Oy,9×19mm Parabellum,Finland,1982,SMG,Unspecified
65,KP m/44 submachine gun,Tikkakoski,9×19mm Parabellum,Finland,1944,SMG,Unspecified
66,KGP-9,Fegyver- és Gépgyár,9×19mm Parabellum,Hungary,1988,SMG,Unspecified
67,KIS (weapon),Jan Piwnik's Ponury guerrilla unit,9×19mm Parabellum,Poland,1943,SMG,Unspecified
